business_name,category,web_status,lead_tag,rating,reviews_count,phone,website,suburb,address,google_maps_url,google_search_url
Oriental Spoon Express,Korean restaurant,none,Hot — no website,4.9,331,+61 466 456 373,,Point Cook,"Sanctuary Lakes Shopping Centre, Unit 78/300 Point Cook Rd, Point Cook VIC 3030, Australia",https://www.google.com/maps/search/?api=1&query=Oriental%20Spoon%20Express&query_place_id=ChIJn97LMkKJ1moRVqdIHFmkswI,https://www.google.com/search?q=Oriental+Spoon+Express
The Brick House Sri Lankan Restaurant & Bar Berwick,Sri Lankan restaurant,none,Hot — no website,4.5,330,+61 420 488 200,,Berwick,"17 Blackburne Square, Berwick VIC 3806, Australia",https://www.google.com/maps/search/?api=1&query=The%20Brick%20House%20Sri%20Lankan%20Restaurant%20%26%20Bar%20Berwick&query_place_id=ChIJG7iOaAIZ1moRMQF7OKiX10k,https://www.google.com/search?q=The+Brick+House+Sri+Lankan+Restaurant+%26+Bar+Berwick
Restaurant 323,Vietnamese restaurant,none,Hot — no website,4.4,278,+61 3 9548 3600,,Springvale,"323 Springvale Rd, Springvale VIC 3171, Australia",https://www.google.com/maps/search/?api=1&query=Restaurant%20323&query_place_id=ChIJmcgzaMcU1moR5MwK9q9IOvg,https://www.google.com/search?q=Restaurant+323
Q Hair Melbourne,Hairdresser,none,Hot — no website,4.8,268,+61 422 056 250,,Melbourne,"3/237 Exhibition St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Q%20Hair%20Melbourne&query_place_id=ChIJ1_oNWclC1moRjdTZi1Exb7g,https://www.google.com/search?q=Q+Hair+Melbourne
Just Vegan,Vegan restaurant,social_only,"Hot — no website, strong social",4.8,233,+61 422 113 775,https://www.facebook.com/justvegan.sunshine/,Sunshine,"252a Hampshire Rd, Sunshine VIC 3020, Australia",https://www.google.com/maps/search/?api=1&query=Just%20Vegan&query_place_id=ChIJOekAN0xf1moRUxvpO_ls9Ww,https://www.google.com/search?q=Just+Vegan
Kaneo,Mediterranean restaurant,social_only,"Hot — no website, strong social",4.6,220,+61 3 9460 2115,https://www.facebook.com/kaneorestaurant/,Reservoir,"52 Edwardes St, Reservoir VIC 3073, Australia",https://www.google.com/maps/search/?api=1&query=Kaneo&query_place_id=ChIJ6_hXkgpF1moRPt7wHhbhawg,https://www.google.com/search?q=Kaneo
Flower Boutique on Collins,Florist,social_only,"Hot — no website, strong social",4.9,183,+61 423 569 377,https://www.facebook.com/042FLOWERS/,Melbourne,"447 Collins St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Flower%20Boutique%20on%20Collins&query_place_id=ChIJt26O3kxd1moRnswmEtYe25g,https://www.google.com/search?q=Flower+Boutique+on+Collins
Mama Bistro,Vietnamese restaurant,social_only,"Hot — no website, strong social",4.9,161,+61 407 524 419,https://www.facebook.com/mamabistro252sunshine,Sunshine,"252B Hampshire Rd, Sunshine VIC 3020, Australia",https://www.google.com/maps/search/?api=1&query=Mama%20Bistro&query_place_id=ChIJRSIN_upf1moRtrKEQth-Inc,https://www.google.com/search?q=Mama+Bistro
Yarra Auto Care Fitzroy,Mechanic,none,Hot — no website,4.8,147,+61 433 220 816,,Fitzroy,"28 Spring St, Fitzroy VIC 3065, Australia",https://www.google.com/maps/search/?api=1&query=Yarra%20Auto%20Care%20Fitzroy&query_place_id=ChIJSYMxFidD1moRVs_YRH1WIy4,https://www.google.com/search?q=Yarra+Auto+Care+Fitzroy
Desi Ahaata,Indian restaurant,none,Hot — no website,4.9,143,+61 411 156 875,,Craigieburn,"1 Walters St, Craigieburn VIC 3064, Australia",https://www.google.com/maps/search/?api=1&query=Desi%20Ahaata&query_place_id=ChIJl_9_JQBR1moRGEN_mBRxkMw,https://www.google.com/search?q=Desi+Ahaata
My Cafe & Eatery,Restaurant,none,Hot — no website,4.8,140,+61 430 358 472,,Pakenham,"Shop 5/1 Hunt Way, Pakenham VIC 3810, Australia",https://www.google.com/maps/search/?api=1&query=My%20Cafe%20%26%20Eatery&query_place_id=ChIJCYUI6qXhKWsRmnIiscWevAg,https://www.google.com/search?q=My+Cafe+%26+Eatery
Pippin Motor Repairs,Auto repair shop,none,Hot — no website,4.6,136,+61 3 9848 1511,,Doncaster East,"42 Jackson Ct, Doncaster East VIC 3109, Australia",https://www.google.com/maps/search/?api=1&query=Pippin%20Motor%20Repairs&query_place_id=ChIJE0cEdI841moRA8pxCa4QC9s,https://www.google.com/search?q=Pippin+Motor+Repairs
Punjab Sweets And Dhaba | Pure Veg Indian Restaurant & Best Indian Sweet Shop in Epping VIC,Restaurant,none,Hot — no website,4.9,128,+61 3 7300 6669,,Epping,"14 Miller St, Epping VIC 3750, Australia",https://www.google.com/maps/search/?api=1&query=Punjab%20Sweets%20And%20Dhaba%20%7C%20Pure%20Veg%20Indian%20Restaurant%20%26%20Best%20Indian%20Sweet%20Shop%20in%20Epping%20VIC&query_place_id=ChIJ9UnRbX1P1moRjV4WzNqS4Lc,https://www.google.com/search?q=Punjab+Sweets+And+Dhaba+%7C+Pure+Veg+Indian+Restaurant+%26+Best+Indian+Sweet+Shop+in+Epping+VIC
St Kilda Auto Repairs,Mechanic,none,Hot — no website,4.2,117,+61 3 9534 4855,,St Kilda,"10 Vale St, St Kilda VIC 3182, Australia",https://www.google.com/maps/search/?api=1&query=St%20Kilda%20Auto%20Repairs&query_place_id=ChIJ1aWa42do1moRK2Jk644LAjo,https://www.google.com/search?q=St+Kilda+Auto+Repairs
Una Una,Western restaurant,social_only,"Hot — no website, strong social",4.9,116,+61 404 281 623,https://www.instagram.com/una.una.boxhill,Box Hill,"G2/712 Station St, Box Hill VIC 3128, Australia",https://www.google.com/maps/search/?api=1&query=Una%20Una&query_place_id=ChIJO9xpOwBB1moR1v_hbftQCkI,https://www.google.com/search?q=Una+Una
Carcare Automotive,Mechanic,none,Hot — no website,4.4,106,+61 3 9544 5563,,Clayton,"37 Renver Rd, Clayton VIC 3168, Australia",https://www.google.com/maps/search/?api=1&query=Carcare%20Automotive&query_place_id=ChIJP_0Nv2YV1moRSCPxrEN8caA,https://www.google.com/search?q=Carcare+Automotive
Glenmount Automotive,Auto repair shop,none,Hot — no website,4.8,104,+61 3 9544 4000,,Mount Waverley,"Unit 1/115 Ricketts Rd, Mount Waverley VIC 3149, Australia",https://www.google.com/maps/search/?api=1&query=Glenmount%20Automotive&query_place_id=ChIJ-YYCIVQV1moRElarsz80rjc,https://www.google.com/search?q=Glenmount+Automotive
ANGKOR AUTOMOTIVE,Car repair and maintenance service,none,Hot — no website,4.5,95,+61 95485800,,Springvale,"Unit 1/47 Osborne Ave, Springvale VIC 3171, Australia",https://www.google.com/maps/search/?api=1&query=ANGKOR%20AUTOMOTIVE&query_place_id=ChIJcUkNf8kU1moRymy9lYqRYSw,https://www.google.com/search?q=ANGKOR+AUTOMOTIVE
WeFix Auto Centre,Auto repair shop,none,Hot — no website,4.7,84,+61 468 960 498,,Springvale,"Unit 2/47 Osborne Ave, Springvale VIC 3171, Australia",https://www.google.com/maps/search/?api=1&query=WeFix%20Auto%20Centre&query_place_id=ChIJk8mqsakV1moR6GJchTcUd1c,https://www.google.com/search?q=WeFix+Auto+Centre
Insideout Autocare,Mechanic,none,Hot — no website,5.0,81,+61 491 041 968,,Box Hill South,"Unit 12/277-289 Middleborough Rd, Box Hill South VIC 3128, Australia",https://www.google.com/maps/search/?api=1&query=Insideout%20Autocare&query_place_id=ChIJiUtjZS5B1moRwDPdxZ7Xm5U,https://www.google.com/search?q=Insideout+Autocare
Dandenong Auto Mechanic,Mechanic,none,Hot — no website,4.7,81,+61 3 8712 0995,,Dandenong,"Unit 1/3 Short St, Dandenong VIC 3175, Australia",https://www.google.com/maps/search/?api=1&query=Dandenong%20Auto%20Mechanic&query_place_id=ChIJh0vlwVcT1moRBN97ULSWLI0,https://www.google.com/search?q=Dandenong+Auto+Mechanic
Kinn Thai Epping,Restaurant,none,Hot — no website,4.9,80,+61 3 9432 8129,,Epping,"Shop RE03/571-583 High St, Epping VIC 3076, Australia",https://www.google.com/maps/search/?api=1&query=Kinn%20Thai%20Epping&query_place_id=ChIJ1bc0b4ZP1moRJF4GtMUwJNw,https://www.google.com/search?q=Kinn+Thai+Epping
Swan St Mechanical,Car repair and maintenance service,none,Hot — no website,4.9,72,+61 3 9429 2397,,Richmond,"301/303 Swan St, Richmond VIC 3121, Australia",https://www.google.com/maps/search/?api=1&query=Swan%20St%20Mechanical&query_place_id=ChIJ5ZCz0opC1moRAL0PoOgkB1M,https://www.google.com/search?q=Swan+St+Mechanical
JM AUTO CARE CENTRE,Auto repair shop,none,Hot — no website,3.8,69,+61 422 696 633,,Clayton,"58 Sarton Rd, Clayton VIC 3168, Australia",https://www.google.com/maps/search/?api=1&query=JM%20AUTO%20CARE%20CENTRE&query_place_id=ChIJL-lPG01r1moRCqA8_FKqxkg,https://www.google.com/search?q=JM+AUTO+CARE+CENTRE
All Mechanical Auto Service,Auto repair shop,none,Hot — no website,4.9,57,+61 440 128 111,,Glen Waverley,"17A Aristoc Rd, Glen Waverley VIC 3150, Australia",https://www.google.com/maps/search/?api=1&query=All%20Mechanical%20Auto%20Service&query_place_id=ChIJkfZVtFU_1moRjiXdZ3cCOoU,https://www.google.com/search?q=All+Mechanical+Auto+Service
Alan Beks Motors,Mechanic,none,Hot — no website,4.8,52,+61 3 9836 1604,,Camberwell,"166 Through Rd, Camberwell VIC 3124, Australia",https://www.google.com/maps/search/?api=1&query=Alan%20Beks%20Motors&query_place_id=ChIJeycCJABB1moRBOFW-4LyTws,https://www.google.com/search?q=Alan+Beks+Motors
Niro’s Kitchen,Sri Lankan restaurant,none,Hot — no website,4.8,47,+61 409 441 422,,Craigieburn,"2B Pines Way, Craigieburn VIC 3064, Australia",https://www.google.com/maps/search/?api=1&query=Niro%E2%80%99s%20Kitchen&query_place_id=ChIJ12QcYwBT1moRSNmPZ6GITlM,https://www.google.com/search?q=Niro%E2%80%99s+Kitchen
BBQ & BURGERS Berwick,American restaurant,none,Hot — no website,4.9,46,+61 452 452 999,,Berwick,"24 Bemersyde Dr, Berwick VIC 3806, Australia",https://www.google.com/maps/search/?api=1&query=BBQ%20%26%20BURGERS%20Berwick&query_place_id=ChIJfzjDawkb1moR7D17WJiMtYE,https://www.google.com/search?q=BBQ+%26+BURGERS+Berwick
Perfect Brakes And Steering,Auto repair shop,none,Hot — no website,4.5,43,+61 3 9347 3825,,Carlton,"265 Queensberry St, Carlton VIC 3053, Australia",https://www.google.com/maps/search/?api=1&query=Perfect%20Brakes%20And%20Steering&query_place_id=ChIJ3_x34DJd1moRcVigColdeP0,https://www.google.com/search?q=Perfect+Brakes+And+Steering
Ammy Bangkok Restaurant,Thai restaurant,none,Hot — no website,4.8,41,+61 3 9561 1111,,Springvale,"16 Buckingham Ave, Springvale VIC 3171, Australia",https://www.google.com/maps/search/?api=1&query=Ammy%20Bangkok%20Restaurant&query_place_id=ChIJv_TGGzAV1moRo9HFkVOqrhc,https://www.google.com/search?q=Ammy+Bangkok+Restaurant
West Footscray Automotive,Mechanic,social_only,"Hot — no website, strong social",4.8,39,+61 405 700 282,https://www.facebook.com/wfa.com.au/,West Footscray,"7 Molesworth Ct, West Footscray VIC 3012, Australia",https://www.google.com/maps/search/?api=1&query=West%20Footscray%20Automotive&query_place_id=ChIJx1nWmf1d1moRc_Se4HvHri0,https://www.google.com/search?q=West+Footscray+Automotive
Axumite Bar & Restaurant,Restaurant,none,Hot — no website,4.9,34,+61 421 760 677,,Sunshine,"12 City Pl, Sunshine VIC 3020, Australia",https://www.google.com/maps/search/?api=1&query=Axumite%20Bar%20%26%20Restaurant&query_place_id=ChIJhx0lDP1h1moRDpVnjETA2d8,https://www.google.com/search?q=Axumite+Bar+%26+Restaurant
Sunshine Phở,Restaurant,none,Hot — no website,4.8,24,+61 403 887 979,,Sunshine,"Unit 15/254 Hampshire Rd, Sunshine VIC 3020, Australia",https://www.google.com/maps/search/?api=1&query=Sunshine%20Ph%E1%BB%9F&query_place_id=ChIJwUhpyP1f1moRmSkpUFgoPpI,https://www.google.com/search?q=Sunshine+Ph%E1%BB%9F
RINGWOOD AUTOMOTIVE SERVICES,Auto repair shop,none,Hot — no website,4.8,18,+61 3 9870 8755,,Ringwood,"13 Eugene Terrace, Ringwood VIC 3134, Australia",https://www.google.com/maps/search/?api=1&query=RINGWOOD%20AUTOMOTIVE%20SERVICES&query_place_id=ChIJ5bhowV051moRR8YQ-wRaMuY,https://www.google.com/search?q=RINGWOOD+AUTOMOTIVE+SERVICES
Summit Landscaping and Earthworks,Landscape designer,none,Hot — no website,5.0,17,,,,,https://www.google.com/maps/search/?api=1&query=Summit%20Landscaping%20and%20Earthworks&query_place_id=ChIJ_3xoJ8Bd1moRFbtJzcXoyVg,https://www.google.com/search?q=Summit+Landscaping+and+Earthworks
GS Mobile Motor Mechanic,Auto repair shop,none,Hot — no website,5.0,8,+61 426 187 008,,Doncaster East,"6 Finch St, Doncaster East VIC 3109, Australia",https://www.google.com/maps/search/?api=1&query=GS%20Mobile%20Motor%20Mechanic&query_place_id=ChIJ__XZAAA51moRyUQYBXdmHqM,https://www.google.com/search?q=GS+Mobile+Motor+Mechanic
Giles & Pitts Mechanical Services,Mechanic,none,Hot — no website,1.8,5,+61 3 9419 8201,,Fitzroy,"67 Johnston St, Fitzroy VIC 3065, Australia",https://www.google.com/maps/search/?api=1&query=Giles%20%26%20Pitts%20Mechanical%20Services&query_place_id=ChIJjzyjWidD1moRYjr_JXxCdXI,https://www.google.com/search?q=Giles+%26+Pitts+Mechanical+Services
